y p
0 99.999
0.000155477 99.999
0.000310954 99.999
0.000466431 99.999
0.000621908 99.999
0.000777385 99.999
0.000932862 99.999
0.00108834 99.999
0.00124382 99.999
0.00139929 99.999
0.00155477 99.999
0.00171025 99.999
0.00186572 99.999
0.0020212 99.999
0.00217668 99.999
0.00233216 99.999
0.00248763 99.999
0.00264311 99.999
0.00279859 99.9991
0.00295406 99.9996
0.00310954 100.001
0.00326502 100.006
0.00342049 100.024
0.00357597 100.085
0.00373145 100.296
0.00388693 101.04
0.0040424 103.714
0.00419788 113.485
0.00435336 149.126
0.00450883 261.674
0.00466431 510.08
0.00481979 856.183
0.00497526 1173.18
0.00513074 1384.19
0.00528622 1498.27
0.0054417 1553.28
0.00559717 1578.36
0.00575265 1589.5
0.00590813 1594.39
0.0060636 1596.53
0.00621908 1597.46
0.00637456 1597.87
0.00653004 1598.04
0.00668551 1598.12
0.00684099 1598.15
0.00699647 1598.17
0.00715194 1598.17
0.00730742 1598.18
0.0074629 1598.18
0.00761837 1598.18
0.00777385 1598.18
0.00792933 1598.18
0.00808481 1598.18
0.00824028 1598.18
0.00839576 1598.18
0.00855124 1598.18
0.00870671 1598.18
0.00886219 1598.18
0.00901767 1598.18
0.00917314 1598.18
0.00932862 1598.18
0.0094841 1598.18
