y v
0 1710.23
0.000155477 1710.23
0.000310954 1710.23
0.000466431 1710.23
0.000621908 1710.23
0.000777385 1710.23
0.000932862 1710.23
0.00108834 1710.23
0.00124382 1710.23
0.00139929 1710.23
0.00155477 1710.23
0.00171025 1710.23
0.00186572 1710.23
0.0020212 1710.23
0.00217668 1710.23
0.00233216 1710.23
0.00248763 1710.23
0.00264311 1710.23
0.00279859 1710.23
0.00295406 1710.22
0.00310954 1710.21
0.00326502 1710.18
0.00342049 1710.07
0.00357597 1709.7
0.00373145 1708.49
0.00388693 1704.47
0.0040424 1691.43
0.00419788 1650.61
0.00435336 1534.7
0.00450883 1286.94
0.00466431 959.057
0.00481979 685.96
0.00497526 515.833
0.00513074 426.078
0.00528622 383.138
0.0054417 363.617
0.00559717 354.953
0.00575265 351.15
0.00590813 349.488
0.0060636 348.764
0.00621908 348.448
0.00637456 348.311
0.00653004 348.251
0.00668551 348.225
0.00684099 348.214
0.00699647 348.209
0.00715194 348.207
0.00730742 348.206
0.0074629 348.205
0.00761837 348.205
0.00777385 348.205
0.00792933 348.205
0.00808481 348.205
0.00824028 348.205
0.00839576 348.205
0.00855124 348.205
0.00870671 348.205
0.00886219 348.205
0.00901767 348.205
0.00917314 348.205
0.00932862 348.205
0.0094841 348.205
