y T
0 300
0.000155477 300
0.000310954 300
0.000466431 300
0.000621908 300
0.000777385 300
0.000932862 300
0.00108834 300
0.00124382 300
0.00139929 300
0.00155477 300
0.00171025 300
0.00186572 300
0.0020212 300
0.00217668 300
0.00233216 300
0.00248763 300
0.00264311 300
0.00279859 300
0.00295406 300.001
0.00310954 300.003
0.00326502 300.009
0.00342049 300.032
0.00357597 300.113
0.00373145 300.413
0.00388693 301.536
0.0040424 305.834
0.00419788 322.039
0.00435336 377.827
0.00450883 512.418
0.00466431 689.863
0.00481979 826.629
0.00497526 904.78
0.00513074 943.685
0.00528622 961.746
0.0054417 969.843
0.00559717 973.414
0.00575265 974.977
0.00590813 975.66
0.0060636 975.957
0.00621908 976.086
0.00637456 976.143
0.00653004 976.167
0.00668551 976.178
0.00684099 976.182
0.00699647 976.184
0.00715194 976.185
0.00730742 976.186
0.0074629 976.186
0.00761837 976.186
0.00777385 976.186
0.00792933 976.186
0.00808481 976.186
0.00824028 976.186
0.00839576 976.186
0.00855124 976.186
0.00870671 976.186
0.00886219 976.186
0.00901767 976.186
0.00917314 976.186
0.00932862 976.186
0.0094841 976.186
