y rho
0 0.00064317
0.000155477 0.00064317
0.000310954 0.00064317
0.000466431 0.00064317
0.000621908 0.00064317
0.000777385 0.00064317
0.000932862 0.00064317
0.00108834 0.00064317
0.00124382 0.00064317
0.00139929 0.00064317
0.00155477 0.00064317
0.00171025 0.00064317
0.00186572 0.00064317
0.0020212 0.00064317
0.00217668 0.00064317
0.00233216 0.00064317
0.00248763 0.00064317
0.00264311 0.00064317
0.00279859 0.00064317
0.00295406 0.00064317
0.00310954 0.000643171
0.00326502 0.000643173
0.00342049 0.000643181
0.00357597 0.000643216
0.00373145 0.000643363
0.00388693 0.00064398
0.0040424 0.000646565
0.00419788 0.000657487
0.00435336 0.000704127
0.00450883 0.000882166
0.00466431 0.00134433
0.00481979 0.00202225
0.00497526 0.00260181
0.00513074 0.00292693
0.00528622 0.00306633
0.0054417 0.00311853
0.00559717 0.00313694
0.00575265 0.00314325
0.00590813 0.00314543
0.0060636 0.00314625
0.00621908 0.00314662
0.00637456 0.0031468
0.00653004 0.00314683
0.00668551 0.00314666
0.00684099 0.00314624
0.00699647 0.00314553
0.00715194 0.00314448
0.00730742 0.00314308
0.0074629 0.00314135
0.00761837 0.00313932
0.00777385 0.00313704
0.00792933 0.00313457
0.00808481 0.00313198
0.00824028 0.00312937
0.00839576 0.00312681
0.00855124 0.00312439
0.00870671 0.00312218
0.00886219 0.00312025
0.00901767 0.00311865
0.00917314 0.00311742
0.00932862 0.00311668
0.0094841 0.00311668
